Continent,Region,Country,Criminality,Criminal markets,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Criminal actors,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Africa,East Africa,Kenya,6.95,6.65,7.50,7.00,7.50,6.00,7.00,7.00,7.50,6.00,6.50,4.50,7.25,7.00,7.50,8.00,6.50,5.21,5.00,4.50,7.00,6.00,5.50,4.50,6.00,6.00,5.00,3.00,3.50,6.50
Asia,Southern Asia,Afghanistan,7.08,6.90,8.50,8.00,8.50,6.00,4.00,8.00,9.50,1.00,7.00,8.50,7.25,7.50,8.50,9.00,4.00,2.67,3.00,2.50,3.00,3.00,2.00,3.00,3.00,3.00,3.50,2.00,2.00,2.00
Asia,South-Eastern Asia,Indonesia,6.38,6.00,6.50,6.00,4.50,7.50,8.00,7.50,3.50,4.00,6.50,6.00,6.75,6.00,7.50,7.50,6.00,4.33,4.00,3.50,5.50,5.00,3.50,4.00,4.00,4.50,4.50,5.00,4.50,4.00
Africa,West Africa,Gambia,4.83,5.15,7.00,5.00,2.50,7.00,3.50,4.50,4.50,6.50,7.00,4.00,4.50,1.00,6.50,6.50,4.00,5.00,5.00,5.00,4.50,5.00,5.00,5.50,6.50,5.50,5.50,2.50,3.50,6.50
Africa,Southern Africa,Namibia,4.33,3.90,3.50,2.50,3.00,6.50,4.50,4.00,3.00,4.50,3.00,4.50,4.75,3.00,5.00,5.00,6.00,4.96,5.00,5.00,7.00,6.50,4.50,4.50,3.50,4.50,5.00,4.00,4.00,6.00
Americas,Central America,Mexico,7.56,8.00,7.50,8.50,8.00,7.50,7.00,7.50,8.00,9.00,8.00,9.00,7.13,9.00,9.00,7.00,3.50,4.46,3.00,4.00,7.00,6.00,4.00,5.00,3.00,4.00,5.00,3.50,4.00,5.00
Africa,Central Africa,Sao Tome and Principe,1.78,1.80,1.50,1.50,2.00,2.50,2.00,1.00,2.00,2.00,2.50,1.00,1.75,1.00,2.00,2.00,2.00,4.92,6.00,5.00,7.00,7.00,6.00,5.00,5.00,3.00,3.00,4.00,3.00,5.00
Africa,North Africa,Tunisia,3.79,4.20,4.00,7.00,5.00,3.50,3.50,5.00,2.00,3.00,5.00,4.00,3.38,1.00,4.00,5.50,3.00,4.83,4.50,5.00,5.00,6.50,4.50,4.50,5.50,5.50,4.00,4.50,3.00,5.50
Africa,North Africa,Algeria,4.51,4.65,4.50,6.50,5.00,2.00,4.50,6.50,2.00,3.50,6.50,5.50,4.38,1.00,5.00,7.00,4.50,4.63,4.50,4.00,5.00,6.00,4.00,6.00,6.50,4.50,4.50,3.00,4.00,3.50
Africa,North Africa,Morocco,4.79,4.95,5.50,6.50,3.00,3.00,4.50,3.00,3.00,6.00,9.00,6.00,4.63,1.00,6.50,7.00,4.00,4.63,4.50,3.50,6.00,6.00,4.00,5.50,6.00,3.50,4.50,4.50,4.00,3.50
Africa,Southern Africa,Seychelles,3.68,3.60,4.00,3.50,3.50,4.00,4.00,1.00,7.50,3.00,3.00,2.50,3.75,2.00,4.50,4.50,4.00,4.58,5.00,5.00,6.00,5.50,6.00,4.00,4.50,3.00,3.00,4.00,5.00,4.00
Africa,East Africa,Djibouti,3.99,3.60,6.00,7.00,6.00,2.00,4.00,2.00,2.50,1.50,3.50,1.50,4.38,1.50,5.00,5.00,6.00,4.50,4.50,3.00,6.50,5.50,4.00,4.00,6.00,5.00,5.50,3.00,4.00,3.00
Asia,Southern Asia,India,5.53,6.30,7.00,6.00,5.50,5.50,8.00,7.00,6.50,3.50,7.50,6.50,4.75,3.50,6.00,6.00,3.50,5.25,4.00,5.50,7.50,4.50,5.00,5.50,6.50,6.00,5.00,3.50,5.00,5.00
Africa,Central Africa,Angola,5.29,5.20,6.00,4.00,6.00,7.00,4.50,8.50,3.00,6.00,4.50,2.50,5.38,3.00,5.50,8.00,5.00,4.42,5.00,4.50,5.00,5.00,3.50,4.50,6.00,5.00,4.00,4.00,3.50,3.00
Asia,Western Asia,Saudi Arabia,6.01,6.90,8.50,7.50,8.00,5.00,7.00,7.00,6.50,5.50,6.50,7.50,5.13,3.00,6.50,8.00,3.00,4.29,3.00,3.50,5.00,4.50,3.00,4.50,5.00,5.50,5.00,4.50,5.00,3.00
Africa,West Africa,Côte d'Ivoire,6.15,6.05,6.50,6.50,7.00,6.00,6.50,7.50,3.50,5.00,6.00,6.00,6.25,3.00,7.00,7.00,8.00,4.42,4.50,4.00,6.00,4.50,5.50,5.00,4.00,5.00,3.50,3.50,3.00,4.50
Europe,Western Europe,Switzerland,4.34,4.30,5.00,3.00,6.50,1.50,3.00,7.00,2.50,5.50,5.50,3.50,4.38,4.50,4.00,1.50,7.50,7.13,9.00,6.50,7.50,6.50,7.00,7.50,8.50,5.00,6.00,8.00,6.00,8.00
Asia,Western Asia,Yemen,6.13,5.00,8.50,7.50,9.00,2.50,4.00,7.00,2.50,2.00,3.00,4.00,7.25,8.00,7.00,6.00,8.00,2.00,2.00,2.00,3.00,2.00,1.50,2.00,2.00,2.00,2.50,1.00,2.00,2.00
Asia,Central Asia and the Caucasus,Tajikistan,5.61,5.10,6.50,6.00,4.00,2.50,3.50,7.00,8.50,2.00,6.00,5.00,6.13,5.50,5.00,9.00,5.00,2.67,3.00,2.00,3.00,2.00,3.00,3.00,2.50,3.50,3.00,2.00,3.00,2.00
Africa,Southern Africa,Zambia,4.93,4.60,5.00,3.00,4.00,8.00,4.50,5.50,4.00,3.00,5.00,4.00,5.25,3.00,5.00,6.00,7.00,4.33,4.00,3.00,5.00,6.50,5.00,4.00,3.50,5.00,5.00,3.00,3.00,5.00
Asia,Western Asia,Syria,6.84,6.05,8.50,8.50,9.00,1.50,3.50,7.00,3.00,2.50,7.50,9.50,7.63,4.50,9.00,10.00,7.00,1.88,2.00,1.00,3.00,2.00,1.50,2.00,1.50,2.00,2.50,2.00,2.00,1.00
Asia,Central Asia and the Caucasus,Turkmenistan,4.61,4.35,8.50,5.00,2.00,2.00,3.00,7.00,6.50,1.50,4.00,4.00,4.88,3.00,3.50,8.50,4.50,2.17,2.00,1.50,1.50,2.50,2.00,2.00,2.00,3.50,2.00,2.00,2.00,3.00
Europe,Western Europe,Ireland,4.90,4.55,4.50,4.00,4.00,2.00,4.00,5.00,5.50,6.50,5.00,5.00,5.25,6.00,5.50,3.00,6.50,7.38,7.00,8.00,8.00,8.00,7.00,7.00,8.00,8.00,8.00,7.00,5.50,7.00
Asia,Eastern Asia,"Korea, DPR",4.78,5.30,8.00,6.50,9.00,1.00,3.00,7.00,3.50,2.00,6.00,7.00,4.25,1.00,2.00,10.00,4.00,1.96,3.50,1.00,2.00,2.00,1.50,1.50,6.00,1.00,1.50,1.00,1.00,1.50
Africa,Southern Africa,Malawi,3.83,4.15,4.50,3.50,4.50,4.00,6.00,4.00,4.50,2.50,6.00,2.00,3.50,2.00,3.00,4.00,5.00,4.29,5.00,4.50,4.50,5.50,4.00,4.00,3.00,6.00,4.00,2.00,3.50,5.50
Asia,South-Eastern Asia,Myanmar,7.59,7.05,6.50,7.50,8.00,7.00,8.00,6.50,9.50,3.50,4.50,9.50,8.13,9.00,7.50,8.50,7.50,3.42,3.00,3.00,5.00,4.50,3.50,4.00,3.00,3.00,3.00,2.00,3.00,4.00
Asia,Southern Asia,Nepal,6.16,5.70,7.00,6.50,6.00,7.00,7.00,6.50,4.50,3.50,5.00,4.00,6.63,4.50,6.50,8.50,7.00,3.71,2.50,2.00,4.50,3.50,3.00,4.50,4.00,3.00,4.50,4.50,3.50,5.00
Africa,East Africa,Tanzania,6.15,6.55,6.50,6.50,5.50,7.50,8.00,6.50,7.50,5.00,7.00,5.50,5.75,3.00,7.00,7.00,6.00,4.04,5.50,2.00,4.00,5.50,5.00,4.00,4.50,5.50,5.00,3.00,3.00,1.50
Americas,South America,Ecuador,6.25,6.00,6.00,5.50,7.50,6.00,6.00,6.50,6.00,7.00,4.00,5.50,6.50,6.50,5.50,6.50,7.50,5.71,5.00,5.50,6.00,6.50,5.50,6.00,4.50,7.00,5.50,5.00,5.00,7.00
Africa,North Africa,Egypt,5.16,4.95,5.50,5.50,7.00,1.00,5.00,4.00,5.50,2.00,7.00,7.00,5.38,3.00,5.50,8.00,5.00,4.04,3.50,3.00,4.50,4.50,3.50,5.00,6.00,6.00,4.50,3.00,2.50,2.50
Americas,Central America,Costa Rica,4.99,4.85,5.00,5.00,5.00,5.00,6.00,6.50,1.00,7.00,4.50,3.50,5.13,6.50,6.00,1.50,6.50,5.50,7.00,6.50,6.00,6.50,5.00,5.00,5.00,4.00,4.50,5.00,5.00,6.50
Africa,West Africa,Togo,5.33,4.90,6.00,3.50,4.00,5.00,6.00,6.00,3.00,5.00,6.50,4.00,5.75,1.00,7.00,7.50,7.50,4.00,3.00,3.00,5.50,4.50,3.50,4.00,4.00,3.00,4.50,4.50,4.00,4.50
Asia,Western Asia,Bahrain,4.83,5.65,7.50,5.50,5.50,4.00,6.00,6.50,5.00,4.00,6.00,6.50,4.00,1.00,6.00,4.00,5.00,5.54,6.00,5.00,7.00,5.50,5.00,5.00,6.50,5.50,6.00,5.50,5.50,4.00
Africa,East Africa,Uganda,6.14,5.65,7.00,5.00,6.50,6.00,6.50,7.00,5.00,3.50,6.00,4.00,6.63,5.00,7.00,7.50,7.00,3.96,5.00,2.00,5.00,5.00,4.00,4.00,5.50,3.00,3.50,2.00,4.00,4.50
Asia,Central Asia and the Caucasus,Uzbekistan,4.96,4.55,7.50,6.00,3.00,3.00,3.50,6.50,6.50,1.50,4.00,4.00,5.38,5.00,4.50,7.00,5.00,3.79,3.00,3.00,4.00,4.00,3.00,3.50,4.50,3.50,4.50,4.00,5.00,3.50
Asia,South-Eastern Asia,Vietnam,6.28,6.05,6.50,7.00,4.00,6.50,8.50,6.00,7.00,4.00,4.50,6.50,6.50,6.00,7.00,7.00,6.00,4.67,5.00,4.50,5.50,5.50,4.00,4.50,5.00,5.50,5.00,5.00,4.50,2.00
Asia,South-Eastern Asia,Thailand,5.76,6.40,6.50,7.00,5.50,6.50,8.00,6.00,7.50,4.00,5.00,8.00,5.13,1.50,5.00,6.50,7.50,4.67,5.00,4.50,6.00,5.50,4.00,5.00,4.00,4.50,4.50,4.50,5.00,3.50
Americas,Central America,Panama,6.68,6.35,8.00,5.50,6.50,6.00,8.00,6.00,5.00,8.50,5.00,5.00,7.00,7.50,7.00,7.50,6.00,4.83,4.50,4.00,6.00,6.00,3.00,4.50,6.00,4.50,6.00,4.00,4.00,5.50
Asia,Western Asia,United Arab Emirates,5.75,6.75,8.50,6.50,6.50,5.50,7.50,6.00,7.00,6.00,6.50,7.50,4.75,1.00,6.00,6.00,6.00,5.33,5.50,5.00,5.50,5.50,5.50,6.00,5.50,4.00,5.50,6.50,6.50,3.00
Americas,Central America,Nicaragua,6.06,5.50,6.00,5.50,6.00,6.00,6.00,6.00,2.50,7.50,6.00,3.50,6.63,5.00,6.50,9.00,6.00,2.46,2.00,1.00,2.50,3.50,2.50,3.00,2.50,3.00,2.00,2.00,3.50,2.00
Asia,Western Asia,Kuwait,5.14,6.15,8.00,6.50,6.50,5.50,6.00,6.00,5.00,4.50,6.50,7.00,4.13,1.00,6.00,6.00,3.50,5.54,5.00,4.50,6.00,5.50,5.50,6.00,5.50,5.50,6.50,5.50,5.50,5.50
Africa,Southern Africa,Lesotho,3.90,3.55,4.00,3.00,3.00,1.00,2.50,5.50,3.50,5.50,4.50,3.00,4.25,1.00,5.00,6.00,5.00,3.67,4.00,3.50,6.00,5.50,3.00,3.00,2.50,5.00,3.00,2.50,2.00,4.00
Africa,West Africa,Burkina Faso,5.49,5.35,6.00,4.00,8.00,4.00,6.00,8.50,4.00,4.00,3.00,6.00,5.63,3.50,6.50,6.50,6.00,3.63,3.50,4.00,5.50,5.00,4.00,3.00,3.00,3.00,3.00,2.50,2.00,5.00
Americas,Caribbean,Haiti,5.73,5.45,6.50,6.50,5.50,6.50,4.00,6.00,2.00,8.00,6.00,3.50,6.00,8.00,6.00,7.00,3.00,2.67,2.00,2.00,3.00,4.00,3.00,2.00,2.00,3.00,2.00,1.50,3.00,4.50
Asia,Central Asia and the Caucasus,Azerbaijan,5.08,4.15,4.50,3.00,3.00,3.50,3.50,6.00,6.00,3.00,5.00,4.00,6.00,5.50,5.50,7.50,5.50,4.08,3.50,3.50,5.50,4.00,2.50,4.00,5.00,4.50,4.00,4.00,5.00,3.50
Asia,South-Eastern Asia,Malaysia,5.94,6.25,6.50,7.00,5.50,6.00,8.00,5.50,6.50,5.00,5.00,7.50,5.63,4.50,5.50,6.00,6.50,5.83,4.50,5.50,7.00,7.00,5.00,5.50,5.50,5.50,7.00,6.00,6.00,5.50
Africa,West Africa,Benin,5.25,5.25,6.00,4.00,5.50,6.00,5.50,5.00,4.50,6.00,4.00,6.00,5.25,1.00,6.00,6.00,8.00,3.54,4.00,4.50,4.00,3.00,3.00,4.00,3.50,3.00,4.00,3.00,2.00,4.50
Oceania,Melanesia,Papua New Guinea,5.44,5.00,7.00,4.00,5.50,8.00,5.00,5.50,1.00,4.00,5.50,4.50,5.88,1.00,8.00,8.00,6.50,3.42,3.00,2.00,4.50,5.00,4.50,3.00,3.00,4.50,3.00,3.00,2.50,3.00
Asia,Western Asia,Oman,4.14,4.90,6.00,4.00,5.00,5.00,5.00,5.50,5.00,3.00,4.50,6.00,3.38,1.00,5.00,4.00,3.50,5.25,4.50,4.50,6.50,6.50,5.50,7.50,5.50,5.00,4.50,4.00,4.00,5.00
Asia,Southern Asia,Pakistan,6.28,6.30,8.00,7.00,8.00,4.50,5.00,5.50,8.50,3.00,7.00,6.50,6.25,6.00,7.50,7.00,4.50,4.00,3.50,3.50,5.00,5.00,3.00,4.00,4.00,4.00,4.00,3.50,4.00,4.50
Africa,West Africa,Sierra Leone,5.40,5.05,5.00,4.00,3.50,6.50,6.50,6.50,2.00,4.50,7.00,5.00,5.75,3.50,5.50,7.00,7.00,3.46,3.50,3.50,4.00,2.50,2.00,4.00,4.00,3.50,3.00,2.50,4.00,5.00
Europe,Western Europe,France,5.66,5.70,6.00,6.50,6.00,4.00,5.50,4.50,6.00,6.50,6.50,5.50,5.63,6.00,6.50,3.00,7.00,6.83,6.00,7.00,8.50,7.50,6.50,7.00,5.00,8.00,8.00,5.00,6.50,7.00
Europe,Western Europe,Netherlands,4.69,5.00,5.50,4.50,5.00,3.00,4.00,4.00,4.00,7.00,5.50,7.50,4.38,4.50,6.00,2.50,4.50,7.42,7.50,8.00,8.00,7.50,7.50,7.50,6.00,6.50,6.50,8.00,8.00,8.00
Asia,Central Asia and the Caucasus,Kyrgyzstan,5.33,4.40,6.50,4.50,3.00,2.00,3.50,5.50,7.00,2.00,5.50,4.50,6.25,5.50,6.50,8.50,4.50,4.17,3.50,3.00,4.50,5.00,3.00,3.50,4.50,3.00,5.00,4.50,5.00,5.50
Europe,Western Europe,Andorra,2.96,2.55,2.50,3.00,3.00,1.00,1.00,3.50,2.00,3.50,4.50,1.50,3.38,1.00,4.00,1.50,7.00,7.75,7.00,7.00,8.00,8.00,8.00,8.00,8.00,6.00,8.00,8.50,8.00,8.50
